TIME,TOTAL CELL DENSITY,VIABLE CELL DENSITY,DEAD CELL DENSITY,GLUCOSE CONC,GLUTAMINE CONC,LACTACE CONC,AMMONIA CONC,INHIBITOR SAT,FEED RATE,DEG OF DEGRAD GLUTAMINE,GLUC MAINT COEFF,AMMONIA YIELD FROM GLUTAMINE,LACTACE YIELD FROM GLUCOSE,CELL YIELD FROM GLUCOSE,CELL YIELD FROM GLUTAMINE,LACTATE SAT CONST,AMMONIA SAT CONST,MAX DEATH RATE,MAX GROWTH RATE,GLUCOSE SAT CONST,GLUTAMINE SAT CONST,GLUTAMINE MAINT COEF,INTRINSIC DEATH RATE,CELL LYSIS RATE,INHIBITOR SAT CONC,SPECIFIC INHIBITOR PROD RATE,VOLUME,GLUCOSE CONC IN FEED,GLUTAMINE CONC IN FEED
0.0,201325503.11830053,201254407.4712371,71095.64706344061,28.990089360356887,4.498289870586056,0.021172997012563616,1.0015846716839456,0.0075966445744511685,0.0,0.0010262965043007985,1.2711686293007196e-10,0.866612829945415,2.136390563576486,234203670.18390793,1409409489.2140515,155.47954835826903,40.0127815049404,0.010317041554166514,0.04421671062670658,0.9317608005270641,0.24351557590022027,0.0,0.010313241832745703,0.020516502037979348,102.93619289451371,2.2718757416775993e-10,3.0,653.0,58.8
0.16682113067655235,202622080.562354,202476582.28330818,145498.27904587088,28.981290264437675,4.496738689228031,0.043380124671934,1.0030392469434695,0.015806420049692557,0.0,0.0009671043907072604,9.956888588625001e-11,0.8830793683969559,2.52379651992386,238006586.34253618,1569665599.8202221,159.92924005120454,35.150764317001475,0.01110750134829957,0.04303441791735337,0.9670840667791929,0.2248530090269888,0.0,0.009641492461183688,0.020197077175471315,76.70500413739543,2.440178938104366e-10,3.0,653.0,58.8
0.3336422613531047,203952185.931519,203751057.20179737,201128.72972171212,28.971735561400692,4.495097631703354,0.06063507604453828,1.004538655800546,0.023187084024950285,0.0,0.0010437115100590528,1.133800747712208e-10,0.8350974030700549,1.8059118431849768,232777656.2311295,1549135491.2852182,137.86820303899935,39.62931833428016,0.008875294565347337,0.0437391502471482,1.0131137160733283,0.21556906475439822,0.0,0.009046138159724337,0.019977058925418706,93.03296452139631,2.1802613313457942e-10,3.0,653.0,58.8
0.5004633920296571,205357348.9506378,205100908.6033576,256440.34728027676,28.96191835326493,4.493455445450997,0.08214675180462574,1.0060131367471021,0.03158533011345285,0.0,0.0009472185187410185,1.0487773372939177e-10,0.8201890740997801,2.191221318994011,225161897.63050383,1507378433.5796826,152.80580678606174,35.307902814345866,0.008422054947385127,0.04596303295534363,0.9088856458435842,0.22170414567555316,0.0,0.01001543749972596,0.019209627250213673,104.13216247246773,2.464933677235689e-10,3.0,653.0,58.8
0.6672845227062094,206703826.07675403,206372737.39828756,331088.67846643954,28.952263072790156,4.491855230953684,0.10530279260648069,1.007563273746011,0.03983217397280588,0.0,0.0010172155250998457,1.101069696775976e-10,0.9402806983047385,2.398277384314201,229190256.45735568,1607050316.6531026,163.16934201597778,38.223384955115385,0.010480682653898194,0.043953955725859174,1.1661874391030655,0.20931995178842883,0.0,0.010498007936468759,0.022705871482788638,114.8530926126304,2.4050731530449967e-10,3.0,653.0,58.8
0.8341056533827618,208018354.4752397,207613693.13102308,404661.3442164715,28.942992059403625,4.490421667215176,0.12341002825719605,1.0089230540900018,0.04860848355844784,0.0,0.0009356004596884614,1.140972329140955e-10,0.8993741783377464,1.9531020931347858,246659994.6449309,1794599803.9036794,165.11458421259454,41.11907337621158,0.00912144406220778,0.04236637245514894,0.9789169075969906,0.2128971736338756,0.0,0.01192013865292752,0.022071260350470297,83.83047923002653,2.5439486570894584e-10,3.0,653.0,58.8
1.0009267840593141,209481302.88618708,209020924.61642435,460378.2697625473,28.933303331182813,4.48884594786658,0.14260985975716833,1.0104356884256256,0.057151655644307006,0.0,0.0009582039304502198,1.0025435694819172e-10,0.9265361460601014,1.9816668465034815,235929513.3211611,1705604516.0157878,134.7663511733397,40.011868190628476,0.009404333240882664,0.047001193446140885,0.9555094106204709,0.22662773350383883,0.0,0.008999361390545954,0.023463887795993062,112.80796126800726,2.4606320168179685e-10,3.0,653.0,58.8
1.1677479147358665,210826729.5137382,210292646.31659195,534083.1971460762,28.92413237251623,4.487226116358299,0.15983873090263243,1.011948815255337,0.06561315820815458,0.0,0.0009593558193709646,1.0539742623654073e-10,0.8817319609081555,1.8786336054753399,245410984.0242943,1492791174.1144643,148.12757585012213,45.250634360112315,0.01001252512995463,0.04332768500129715,1.1671859895992631,0.24740301945158918,0.0,0.01053786265384922,0.01702270986303108,94.1095289913083,2.421537056008261e-10,3.0,653.0,58.8
1.3345690454124188,212106692.50204697,211496665.49259207,610027.0094547578,28.914811696310927,4.485553023886793,0.17878399302757197,1.0135053285654871,0.07520425578065248,0.0,0.0009759645551901409,1.0505390218412125e-10,0.8764177875735636,2.032605972747009,227717478.2753066,1358613407.490794,143.28114223525165,36.094226328722854,0.009385455183836924,0.0408867844396374,0.9718419019277849,0.23870251384831565,0.0,0.011216318779882248,0.017429132974453903,90.800578267976,2.7286958147606663e-10,3.0,653.0,58.8
1.5013901760889712,213438736.60908437,212745611.82732907,693124.7817551271,28.903650654928242,4.483864644131835,0.2007929267830893,1.015206118303926,0.08399191441561958,0.0,0.0010566468698406492,9.549465489033559e-11,1.0138105468133622,1.9719426710182961,171387170.7336141,1484825395.5056722,136.6524628822392,40.99476059908282,0.010880167688736031,0.04183709281793849,0.9352724519054542,0.2040720617987331,0.0,0.01075390478987975,0.02027118202549362,89.63646027450613,2.4856598002273483e-10,3.0,653.0,58.8
